Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.730,-$0.010 / -0.11%,"1,110","$9,758.71","$10,703,253,493"
AMP,AMP Limited,$1.140,$0.000 / 0.00%,"15,514","$17,707.16","$3,917,723,135"
ANZ,Australia and New Zealand Banking Group Limited,$28.990,-$0.020 / -0.07%,"28,778","$827,850.09","$82,294,466,216"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.870,$0.010 / 1.16%,"1,241,671","$1,068,254.48","$337,808,275"
WBC,Westpac Banking Corporation,$27.060,$0.230 / 0.86%,"18,921","$506,164.42","$99,272,094,324"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.480,-$0.090 / -3.50%,"131,933","$337,465.34","$682,000,000"
CRP,Chatham Rock Phosphate Limited,$0.135,$0.000 / 0.00%,"5,387",$727.20,"$8,738,594"
TCL,The City of London Investment Trust Plc,$7.850,-$0.050 / -0.63%,"1,159","$9,103.22","$3,505,416,464"
FCT,F&C Investment Trust PLC,$17.450,$0.000 / 0.00%,12,$210.00,"$9,268,110,642"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.580,-$0.090 / -2.45%,"1,013","$3,663.17","$4,228,798,585"
BIT,The Bankers Investment Trust Plc,$2.320,$0.010 / 0.43%,"29,885","$69,161.36","$3,051,038,566"
JPG,JPMorgan Global Growth & Income plc,$9.340,$0.000 / 0.00%,16,$150.08,"$1,437,279,222"
HFL,Henderson Far East Income Limited,$6.390,-$0.010 / -0.16%,"2,831","$18,111.53","$965,487,874"
AFT,AFT Pharmaceuticals Limited,$4.220,$0.070 / 1.69%,"34,650","$145,335.93","$441,744,853"
AGG,Smartshares Global Aggregate Bond ETF,$1.328,-$0.002 / -0.15%,"22,131","$29,421.59","$161,862,789"
AIA,Auckland International Airport Limited,$7.230,$0.020 / 0.28%,"1,286,211","$9,188,556.75","$10,647,240,970"
AIR,Air New Zealand Limited (NS),$1.535,$0.025 / 1.66%,"606,392","$921,605.58","$1,723,513,418"
ALF,Allied Farmers Limited,$0.620,-$0.010 / -1.59%,"50,975","$31,648.56","$17,859,989"
APA,Smartshares Asia Pacific ETF,$2.346,$0.015 / 0.64%,"504,283","$1,182,075.42","$131,706,143"
PCT,Precinct Properties New Zealand Limited (NS),$1.690,-$0.020 / -1.17%,"759,998","$1,300,732.83","$2,498,221,769"
ARG,Argosy Property Limited,$1.640,-$0.010 / -0.61%,"1,339,059","$2,209,132.73","$1,381,813,977"
ARV,Arvida Group Limited,$2.100,$0.020 / 0.96%,"390,519","$813,621.17","$1,140,667,206"
ASD,Smartshares Australian Dividend ETF,$1.675,-$0.020 / -1.18%,"93,095","$157,024.38","$32,335,106"
ASF,Smartshares Australian Financials ETF,$7.883,$0.082 / 1.05%,"30,983","$241,739.93","$29,683,184"
ASP,Smartshares Australian Property ETF,$1.634,$0.009 / 0.55%,"97,189","$158,123.53","$66,458,916"
ASR,Smartshares Australian Resources ETF,$5.538,-$0.007 / -0.13%,"59,587","$328,795.98","$43,238,672"
ATM,The a2 Milk Company Limited,$5.940,-$0.090 / -1.49%,"1,040,155","$6,200,040.70","$4,417,012,958"
AUS,Smartshares S&P/ASX 200 ETF,$3.103,$0.001 / 0.03%,"77,335","$240,095.37","$45,032,933"
AGL,Accordant Group Limited,$1.620,$0.000 / 0.00%,100,$164.18,"$54,769,370"
GXH,Green Cross Health Limited,$1.110,$0.000 / 0.00%,150,$171.50,"$158,899,562"
BFG,Burger Fuel Group Limited,$0.395,$0.000 / 0.00%,"1,599",$630.54,"$19,883,061"
BGP,Briscoe Group Limited,$6.500,$0.000 / 0.00%,"9,739","$63,293.84","$1,446,615,950"
BLT,Blis Technologies Limited,$0.067,$0.003 / 4.69%,"376,385","$24,937.52","$85,344,707"
BOT,Smartshares Automation and Robotics ETF,$4.709,$0.022 / 0.47%,"91,889","$430,330.49","$51,285,206"
BRM,Barramundi Limited,$1.070,-$0.010 / -0.93%,"131,353","$141,389.13","$228,728,216"
BRMWF,Barramundi Limited,$0.330,-$0.004 / -1.20%,"2,457",$820.31,"$17,335,863"
MHM,MHM Automation Limited,$0.640,-$0.010 / -1.54%,"5,000","$3,231.36","$41,996,203"
BRW,Bremworth Limited,$0.640,$0.000 / 0.00%,"59,125","$38,194.32","$43,954,623"
CBD,Cannasouth Limited,$0.410,-$0.005 / -1.20%,"85,291","$35,002.90","$55,465,026"
CEN,Contact Energy Limited,$8.180,$0.030 / 0.37%,"910,344","$7,443,952.47","$6,348,678,533"
CGF,Cooks Global Foods Limited,$0.039,$0.001 / 2.63%,"11,513",$449.01,"$24,485,519"
VHP,Vital Healthcare Property Trust,$3.310,$0.010 / 0.30%,"303,974","$1,002,293.35","$1,733,922,233"
CMO,The Colonial Motor Company Limited,$10.400,$0.000 / 0.00%,"4,036","$42,061.17","$340,024,173"
CNU,Chorus Limited (NS),$7.090,$0.060 / 0.85%,"291,965","$2,057,250.24","$3,169,406,428"
CO2,Carbon Fund,$1.880,$0.170 / 9.94%,"250,648","$451,722.65","$48,513,765"
GMT,Goodman Property Trust (NS),$2.585,-$0.011 / -0.42%,"896,484","$2,313,570.74","$3,612,029,129"
CVT,Comvita Limited,$3.650,$0.050 / 1.39%,"89,422","$325,992.23","$256,594,507"
DGL,Delegat Group Limited,$14.100,-$0.450 / -3.09%,"4,763","$68,166.17","$1,425,935,707"
DIV,Smartshares NZ Dividend ETF,$1.364,$0.004 / 0.29%,"383,858","$522,416.54","$112,744,436"
SPY,Smartpay Holdings Limited,$0.765,-$0.005 / -0.65%,"7,802","$5,986.66","$182,287,997"
EBO,Ebos Group Limited,$36.000,$0.060 / 0.17%,"94,512","$3,401,065.13","$5,910,282,576"
ACE,Ascension Capital Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$1,914,888"
EMF,Smartshares Emerging Markets ETF,$1.484,$0.010 / 0.68%,"147,802","$217,963.64","$160,404,306"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.498,$0.073 / 3.01%,"46,708","$115,161.61","$38,800,625"
ENS,Enprise Group Limited,$2.500,-$0.200 / -7.41%,"10,189","$27,188.94","$40,394,248"
ERD,EROAD Limited,$6.300,$0.000 / 0.00%,"22,278","$140,066.18","$611,237,258"
ESG,Smartshares Global Equities ESG ETF,$2.763,-$0.009 / -0.32%,"54,517","$151,077.60","$22,795,347"
EUF,Smartshares Europe ETF,$2.010,-$0.005 / -0.25%,"136,382","$273,911.98","$206,971,782"
EUG,Smartshares Europe Equities ESG ETF,$2.853,-$0.017 / -0.59%,"29,697","$84,994.52","$41,234,184"
EVO,Evolve Education Group Limited,$0.670,$0.040 / 6.35%,"116,746","$76,115.97","$106,898,154"
FPH,Fisher & Paykel Healthcare Corporation Limited,$32.810,-$0.290 / -0.88%,"253,721","$8,305,026.10","$18,913,597,971"
FBU,Fletcher Building Limited,$7.370,-$0.120 / -1.60%,"316,121","$2,327,706.43","$6,051,890,380"
FNZ,Smartshares NZ Top 50 ETF,$3.589,-$0.004 / -0.11%,"604,545","$2,169,775.50","$804,837,481"
FRE,Freightways Limited,$12.800,$0.000 / 0.00%,"87,848","$1,124,592.80","$2,121,452,109"
FSF,Fonterra Shareholders' Fund (NS),$3.750,$0.070 / 1.90%,"30,218","$112,193.74","$402,825,608"
GBF,Smartshares Global Bond ETF,$3.345,$0.002 / 0.06%,"19,778","$66,134.26","$214,831,347"
GENWB,General Capital Limited,$0.002,$0.000 / 0.00%,0,$0.00,"$645,970"
GEO,Geo Limited,$0.125,-$0.001 / -0.79%,"288,159","$36,750.20","$14,209,562"
GFL,Geneva Finance Limited,$0.730,$0.000 / 0.00%,"2,758","$2,013.03","$53,242,751"
GNE,Genesis Energy Limited (NS),$3.390,$0.000 / 0.00%,"514,845","$1,763,182.81","$3,537,697,727"
FWL,Foley Wines Limited,$1.470,$0.010 / 0.68%,"7,196","$10,606.78","$96,632,138"
GTK,Gentrack Group Limited,$1.970,$0.000 / 0.00%,"14,404","$28,299.70","$194,926,226"
THL,Tourism Holdings Limited,$2.420,$0.010 / 0.41%,"25,151","$60,783.27","$367,604,411"
NTL,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,"2,352,164","$5,747.72","$8,376,676"
HGH,Heartland Group Holdings Limited,$2.250,-$0.040 / -1.75%,"220,880","$500,708.62","$1,318,284,821"
HLG,Hallenstein Glasson Holdings Limited,$7.200,-$0.050 / -0.69%,"4,744","$34,398.68","$429,473,239"
HMY,Harmoney Corp Limited,$2.000,$0.010 / 0.50%,"19,533","$38,809.74","$201,825,448"
IFT,Infratil Limited,$7.385,-$0.090 / -1.20%,"321,249","$2,384,555.53","$5,339,004,456"
IKE,ikeGPS Group Limited,$1.050,$0.000 / 0.00%,"22,874","$24,005.57","$160,421,367"
IPL,Investore Property Limited (NS),$2.030,$0.010 / 0.50%,"356,838","$723,243.16","$747,314,117"
JPN,Smartshares Japan Equities ESG ETF,$2.195,$0.042 / 1.95%,"9,044","$19,643.16","$25,549,449"
JLG,Just Life Group Limited,$0.920,$0.000 / 0.00%,"7,702","$6,975.74","$89,579,518"
KFL,Kingfish Limited,$2.080,$0.020 / 0.97%,"250,732","$519,782.44","$653,508,007"
CDI,CDL Investments New Zealand Limited,$1.155,-$0.005 / -0.43%,"71,522","$82,964.94","$332,077,542"
KMD,Kathmandu Holdings Limited,$1.380,$0.020 / 1.47%,"421,786","$580,503.45","$978,421,910"
KPG,Kiwi Property Group Limited,$1.165,$0.005 / 0.43%,"2,722,211","$3,169,568.34","$1,829,160,556"
SNC,Southern Charter Financial Group Limited,$0.008,$0.000 / 0.00%,0,$0.00,"$4,119,156"
LIC,Livestock Improvement Corporation Limited (NS),$1.300,$0.000 / 0.00%,0,$0.00,"$165,299,679"
LIV,Smartshares Healthcare Innovation ETF,$3.622,$0.023 / 0.64%,"90,541","$326,554.63","$38,174,721"
PYS,PaySauce Limited,$0.325,$0.005 / 1.56%,"13,954","$4,466.99","$44,993,794"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$2.350,-$0.040 / -1.67%,"16,936","$40,433.27","$247,875,046"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$2.290,$0.000 / 0.00%,0,$0.00,"$120,773,553"
MDZ,Smartshares NZ Mid Cap ETF,$6.753,$0.002 / 0.03%,"71,894","$485,597.26","$201,514,072"
MEL,Meridian Energy Limited (NS),$5.240,-$0.010 / -0.19%,"1,073,877","$5,622,743.80","$13,425,478,188"
MFB,My Food Bag Group Limited,$1.390,$0.030 / 2.21%,"371,719","$510,660.10","$336,988,158"
MFT,Mainfreight Limited,$98.520,$4.520 / 4.81%,"117,107","$11,472,931.73","$9,920,820,949"
MLN,Marlin Global Limited,$1.530,$0.000 / 0.00%,"48,956","$74,677.75","$291,097,746"
MLNWE,Marlin Global Limited,$0.242,$0.001 / 0.41%,"10,000","$2,420.00","$11,436,163"
SVR,Savor Limited,$0.540,$0.010 / 1.89%,"28,148","$14,932.52","$33,489,054"
MOV,Move Logistics Group Limited,$1.610,$0.010 / 0.63%,"93,981","$151,236.01","$141,172,660"
MPG,Metro Performance Glass Limited,$0.435,-$0.005 / -1.14%,"7,510","$3,297.53","$80,639,467"
MCY,Mercury NZ Limited (NS),$6.660,$0.010 / 0.15%,"922,454","$6,144,682.58","$9,072,924,214"
MWE,Marlborough Wine Estates Group Limited,$0.255,$0.000 / 0.00%,"1,266",$323.25,"$75,723,299"
GEN,General Capital Limited,$0.056,$0.000 / 0.00%,"1,171",$65.86,"$9,120,932"
MZY,Smartshares Australian Mid Cap ETF,$9.300,-$0.051 / -0.55%,"20,858","$195,045.26","$181,650,148"
APL,Asset Plus Limited,$0.340,$0.000 / 0.00%,"131,852","$44,832.14","$123,324,052"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.374,-$0.016 / -0.67%,"6,316","$15,066.09","$90,927,588"
NPF,Smartshares NZ Property ETF,$1.589,-$0.002 / -0.13%,"194,928","$308,624.13","$147,994,293"
NPH,Napier Port Holdings Limited,$3.190,$0.020 / 0.63%,"78,809","$250,338.98","$637,604,239"
MMH,Marsden Maritime Holdings Limited,$6.340,$0.120 / 1.93%,"1,819","$11,457.11","$261,846,127"
NTLOB,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,0,$0.00,"$51,109"
NWF,NZ Windfarms Limited,$0.270,$0.000 / 0.00%,"312,838","$84,235.50","$77,777,168"
NZA,NZ Automotive Investments Limited,$1.150,-$0.010 / -0.86%,887,"$1,020.05","$52,387,675"
NZB,Smartshares NZ Bond ETF,$3.056,$0.001 / 0.03%,"69,539","$212,445.64","$312,267,025"
NZC,Smartshares NZ Cash ETF,$2.948,-$0.002 / -0.07%,"4,682","$13,807.21","$307,015,663"
BGI,Blackwell Global Holdings Limited,$0.005,$0.000 / 0.00%,"36,258",$181.32,"$2,511,652"
NZG,Smartshares S&P/NZX 50 ETF,$2.841,-$0.004 / -0.14%,"172,913","$490,973.29","$261,655,651"
SMW,SMW Group Limited,$1.000,$0.000 / 0.00%,0,$0.00,"$54,122,884"
NZK,New Zealand King Salmon Investments Limited,$1.420,-$0.010 / -0.70%,"57,435","$82,640.66","$197,359,602"
NZL,New Zealand Rural Land Company Limited (NS),$1.100,-$0.020 / -1.79%,"209,705","$231,005.24","$86,824,067"
NZM,NZME Limited,$0.980,$0.030 / 3.16%,"38,762","$37,825.99","$193,618,660"
NZO,New Zealand Oil & Gas Limited,$0.410,-$0.005 / -1.20%,"28,939","$11,867.71","$67,416,594"
NZR,The New Zealand Refining Company Limited,$0.930,$0.010 / 1.09%,"537,204","$495,330.13","$291,540,640"
NZX,NZX Limited,$1.840,$0.000 / 0.00%,"168,255","$307,408.20","$514,443,672"
OCA,Oceania Healthcare Limited,$1.570,$0.000 / 0.00%,"894,488","$1,404,102.34","$1,107,958,199"
OZY,Smartshares Australian Top 20 ETF,$4.379,-$0.002 / -0.05%,"125,309","$549,319.30","$177,048,518"
PCTHA,Precinct Properties New Zealand Limited (NS),$1.210,$0.030 / 2.54%,"333,650","$401,797.95","$181,500,000"
PEB,Pacific Edge Limited,$1.390,-$0.030 / -2.11%,"798,169","$1,121,427.21","$1,013,416,890"
PFI,Property for Industry Limited,$3.030,-$0.005 / -0.16%,"276,435","$838,776.13","$1,525,540,785"
PLP,Private Land and Property Fund,$1.185,$0.000 / 0.00%,"1,487","$1,762.15","$85,330,792"
POT,Port of Tauranga Limited,$7.390,-$0.070 / -0.94%,"108,316","$799,278.88","$5,027,169,649"
PPH,Pushpay Holdings Limited,$1.750,-$0.020 / -1.13%,"1,052,360","$1,837,900.92","$1,994,226,516"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,"2,000,000","$2,000.00","$21,284,975"
QEX,QEX Logistics Limited,$0.285,$0.000 / 0.00%,0,$0.00,"$16,142,586"
RAD,Radius Residential Care Limited,$0.520,$0.010 / 1.96%,"95,279","$49,231.09","$140,006,406"
RAK,Rakon Limited,$1.020,$0.030 / 3.03%,"220,835","$221,644.74","$233,636,377"
ARB,ArborGen Holdings Limited,$0.305,-$0.010 / -3.17%,"112,162","$34,910.02","$152,875,799"
RBD,Restaurant Brands New Zealand Limited,$16.000,$0.000 / 0.00%,"7,133","$114,060.90","$1,996,136,368"
PGW,PGG Wrightson Limited,$3.850,$0.000 / 0.00%,"60,742","$235,930.69","$290,613,720"
MEE,Me Today Limited,$0.082,$0.002 / 2.50%,"598,979","$47,956.31","$57,930,252"
RUA,Rua Bioscience Limited,$0.405,-$0.010 / -2.41%,"85,392","$34,654.96","$56,830,171"
RYM,Ryman Healthcare Limited,$15.490,$0.010 / 0.06%,"193,893","$3,000,257.89","$7,745,000,000"
GSH,Good Spirits Hospitality Limited,$0.070,$0.002 / 2.94%,"9,140",$634.04,"$4,041,412"
SAN,Sanford Limited (NS),$5.400,$0.950 / 21.35%,"14,319,177","$78,508,871.66","$504,933,140"
SCL,Scales Corporation Limited,$5.150,$0.140 / 2.79%,"109,153","$558,088.30","$733,333,411"
SCT,Scott Technology Limited,$2.950,$0.120 / 4.24%,"4,281","$12,409.10","$232,064,213"
SCY,Smiths City Group Limited (in receivership),$0.140,$0.000 / 0.00%,0,$0.00,"$7,376,341"
SDL,Solution Dynamics Limited,$3.030,-$0.070 / -2.26%,"31,323","$94,892.18","$44,358,624"
SEK,Seeka Limited,$5.300,$0.000 / 0.00%,"78,699","$414,009.12","$208,979,922"
SKC,SkyCity Entertainment Group Limited (NS),$3.320,$0.060 / 1.84%,"524,284","$1,731,831.35","$2,523,881,294"
SKO,Serko Limited,$8.000,$0.000 / 0.00%,"44,428","$354,307.43","$864,298,760"
SKT,Sky Network Television Limited,$0.193,$0.003 / 1.58%,"20,920,469","$3,971,191.95","$337,147,755"
SKL,Skellerup Holdings Limited,$5.480,$0.030 / 0.55%,"260,162","$1,422,967.85","$1,070,114,573"
SML,Synlait Milk Limited (NS),$3.230,-$0.070 / -2.12%,"112,040","$362,190.78","$706,018,765"
PX1,Plexure Group Limited,$0.540,$0.000 / 0.00%,0,$0.00,"$94,200,495"
GWC,Goodwood Capital Limited,$0.025,-$0.002 / -7.41%,"19,206",$480.15,"$835,245"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$2.630,$0.034 / 1.31%,"877,522","$2,311,639.85","$1,244,608,110"
SPN,South Port New Zealand Limited,$9.000,$0.100 / 1.12%,"5,825","$52,410.13","$236,114,082"
SUM,Summerset Group Holdings Limited,$15.290,$0.190 / 1.26%,"405,129","$6,174,407.57","$3,509,076,330"
STU,Steel & Tube Holdings Limited,$1.120,$0.000 / 0.00%,"84,391","$94,346.19","$185,917,245"
TAH,Third Age Health Services Limited,$2.290,$0.010 / 0.44%,"1,376","$3,150.13","$22,327,500"
SPK,Spark New Zealand Limited,$4.890,$0.015 / 0.31%,"1,573,494","$7,679,930.26","$9,130,241,705"
TNZ,Smartshares NZ Top 10 ETF,$2.180,$0.005 / 0.23%,"257,089","$560,483.97","$170,871,829"
TPW,Trustpower Limited,$8.000,$0.030 / 0.38%,"31,674","$252,622.66","$2,503,784,000"
TRU,TruScreen Group Limited,$0.064,$0.002 / 3.23%,"989,910","$62,139.44","$23,223,440"
VTL,Vital Limited,$0.690,-$0.040 / -5.48%,"97,077","$68,207.96","$28,552,807"
TGG,T&G Global Limited,$2.980,$0.000 / 0.00%,"6,828","$20,242.88","$365,178,748"
TWF,Smartshares Total World ETF,$3.046,$0.002 / 0.07%,"255,631","$776,055.03","$140,093,323"
TWH,Smartshares Total World (NZD Hedged) ETF,$3.354,-$0.001 / -0.03%,"46,261","$154,866.47","$76,772,486"
TWR,Tower Limited,$0.690,-$0.010 / -1.43%,"854,333","$589,723.80","$290,936,608"
USA,Smartshares US Equities ESG ETF,$3.059,$0.012 / 0.39%,"26,045","$79,171.66","$53,048,462"
USF,Smartshares US 500 ETF,$11.720,-$0.080 / -0.68%,"287,101","$3,375,878.46","$429,033,970"
USG,Smartshares US Large Growth ETF,$8.474,$0.023 / 0.27%,"73,130","$619,468.75","$185,062,550"
USM,Smartshares US Mid Cap ETF,$7.012,$0.009 / 0.13%,"10,464","$73,178.56","$102,674,928"
USS,Smartshares US Small Cap ETF,$6.308,-$0.075 / -1.17%,"9,165","$58,329.64","$88,997,749"
USV,Smartshares US Large Value ETF,$4.012,-$0.044 / -1.08%,"18,672","$75,238.68","$73,973,962"
VCT,Vector Limited (NS),$4.210,-$0.010 / -0.24%,"112,295","$476,879.26","$4,210,000,000"
VGL,Vista Group International Limited,$2.450,$0.030 / 1.24%,"112,815","$274,687.32","$560,596,289"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
TRA,Turners Automotive Group Limited,$4.480,$0.150 / 3.46%,"88,996","$393,170.77","$385,590,231"
WDT,Wellington Drive Technologies Limited,$0.122,-$0.002 / -1.61%,"179,047","$21,782.68","$52,693,584"
WHS,The Warehouse Group Limited,$3.780,$0.070 / 1.89%,"54,766","$205,537.36","$1,311,066,994"
WHS,The Warehouse Group Limited,$3.780,$0.070 / 1.89%,"54,766","$205,537.36","$1,311,066,994"
ZEL,Z Energy Limited,$3.530,$0.020 / 0.57%,"1,131,911","$3,984,716.56","$1,836,083,501"
